Name,Decade,ERA
선동열,1980s,1.14
최동원,1980s,2.27
김건우,1980s,2.3
박철순,1980s,2.4
김일융,1980s,2.53
박정현,1980s,2.55
이상군,1980s,2.55
최일언,1980s,2.56
김용수,1980s,2.63
최창호,1980s,2.74
한희민,1980s,2.76
윤학길,1980s,2.81
김시진,1980s,2.82
김성길,1980s,2.83
하기룡,1980s,2.87
권영호,1980s,3.06
김정수,1980s,3.06
황규봉,1980s,3.08
성준,1980s,3.08
장호연,1980s,3.11
이상윤,1980s,3.13
김진욱,1980s,3.13
이광권,1980s,3.13
계형철,1980s,3.14
유종겸,1980s,3.14
김정행,1980s,3.19
윤석환,1980s,3.19
문희수,1980s,3.2
차동철,1980s,3.21
임호균,1980s,3.29
신동수,1980s,3.33
이선희,1980s,3.35
양상문,1980s,3.37
박동수,1980s,3.39
김훈기,1980s,3.44
오영일,1980s,3.47
박상열,1980s,3.5
장명부,1980s,3.55
이길환,1980s,3.56
배경환,1980s,3.57
김태원,1980s,3.6
최계훈,1980s,3.6
선우대영,1980s,3.61
성낙수,1980s,3.61
김용남,1980s,3.61
오명록,1980s,3.61
진동한,1980s,3.64
황태환,1980s,3.7
김신부,1980s,3.7
김봉근,1980s,3.72
안창완,1980s,3.73
김기태,1980s,3.73
방수원,1980s,3.75
김대현,1980s,3.76
강만식,1980s,3.76
정삼흠,1980s,3.77
황기선,1980s,3.8
김대중,1980s,3.91
조도연,1980s,3.91
천창호,1980s,3.95
이용철,1980s,3.97
김문희,1980s,4.04
양일환,1980s,4.09
노상수,1980s,4.11
김홍명,1980s,4.15
조병천,1980s,4.4
정은배,1980s,4.44
이진우,1980s,4.68
정성만,1980s,4.86
김재현,1980s,5.23
오문현,1980s,5.29
오승환,2000s,1.71
정대현,2000s,2.03
권오준,2000s,2.78
김광현,2000s,2.79
구대성,2000s,2.87
한기주,2000s,2.88
류현진,2000s,2.99
리오스,2000s,3.01
정재훈,2000s,3.02
박석진,2000s,3.12
위재영,2000s,3.17
김현욱,2000s,3.18
윤석민,2000s,3.19
이재우,2000s,3.19
조웅천,2000s,3.25
레이번,2000s,3.28
권준헌,2000s,3.32
신용운,2000s,3.33
손민한,2000s,3.4
랜들,2000s,3.41
장원삼,2000s,3.47
채병용,2000s,3.5
레스,2000s,3.51
구자운,2000s,3.51
브라운,2000s,3.52
봉중근,2000s,3.52
권혁,2000s,3.54
신철인,2000s,3.55
캘러웨이,2000s,3.56
박명환,2000s,3.61
송진우,2000s,3.62
진필중,2000s,3.63
김진우,2000s,3.66
임창용,2000s,3.68
유동훈,2000s,3.72
이재영,2000s,3.74
해리거,2000s,3.75
정현욱,2000s,3.76
키퍼,2000s,3.79
오상민,2000s,3.83
노장진,2000s,3.83
이승호,2000s,3.86
장문석,2000s,3.87
이강철,2000s,3.88
임경완,2000s,3.93
윤성환,2000s,3.93
이동현,2000s,3.94
황두성,2000s,3.95
문동환,2000s,3.97
배영수,2000s,3.98
전병두,2000s,4
금민철,2000s,4.02
윤길현,2000s,4.08
경헌호,2000s,4.08
이혜천,2000s,4.1
송은범,2000s,4.11
송승준,2000s,4.15
주형광,2000s,4.16
김원형,2000s,4.18
이승호,2000s,4.21
안지만,2000s,4.21
이상열,2000s,4.23
마정길,2000s,4.24
조정훈,2000s,4.24
최향남,2000s,4.26
송신영,2000s,4.27
박지철,2000s,4.27
정민태,2000s,4.28
장원준,2000s,4.29
오봉옥,2000s,4.32
염종석,2000s,4.32
신승현,2000s,4.32
임선동,2000s,4.33
이상목,2000s,4.34
전병호,2000s,4.37
강영식,2000s,4.39
안영명,2000s,4.39
류택현,2000s,4.42
이현승,2000s,4.46
마일영,2000s,4.5
정재복,2000s,4.51
한용덕,2000s,4.52
김수경,2000s,4.54
김진웅,2000s,4.55
이정훈,2000s,4.55
강상수,2000s,4.6
김상진,2000s,4.64
윤규진,2000s,4.64
최원호,2000s,4.67
최상덕,2000s,4.68
마일영,2000s,4.5
정재복,2000s,4.51
한용덕,2000s,4.52
김수경,2000s,4.54
김진웅,2000s,4.55
이정훈,2000s,4.55
강상수,2000s,4.6
김상진,2000s,4.64
윤규진,2000s,4.64
최원호,2000s,4.67
최상덕,2000s,4.68
이대진,2000s,4.69
최영필,2000s,4.7
정민철,2000s,4.71
심수창,2000s,4.72
김민기,2000s,4.78
김명제,2000s,4.81
전준호,2000s,4.82
강철민,2000s,4.85
김광삼,2000s,4.85
가득염,2000s,4.91
신윤호,2000s,4.94
콜,2000s,4.95
김해님,2000s,4.99
제춘모,2000s,5.09
양훈,2000s,5.15
김영수,2000s,5.23
조규수,2000s,5.27
이용훈,2000s,5.58
김장현,2000s,5.7
